Occupation,Sex,Age,Residency_in_Dormitory,Number_of_Family_Members,Parent_Cohabitation_Status,Mother_Education,Father_Education,Mother_Job_Category,Father_Job_Category,Criminal_Records,Legal_Guardian,Average_Sport_Activity_Per_Week,Average_Studying_Per_Week,Average_Grades_Previous_Semester,Having_Scholarship,Financial_Support_Parents,Using_Extracurricular_Classes,Having_Extracurricular_Activities,History_Mental_Illness,Willingness_to_Studying,History_Physical_Illness,Marital_Status_Relationship,Relationship_Quality_Family,Free_Time_After_Classes,Communication_Quality_Classmates,Alcohol_Consumption_Week,Alcohol_Consumption_Weekend,Number_of_Absences,Average_Student_Final_Grades,Academic_Performance
2,0,22,1,5,1,2,2,3,3,0,2,214.7699907107863,14.609922543818374,11.85506208096695,0,0,0,0,0,3,0,0,3,295.227370558878,3,3,8,5,10.61,1
2,0,21,0,5,1,2,2,2,2,0,1,170.32149891801708,14.372687132929167,9.236230333306473,0,1,0,0,0,3,0,0,3,260.4958092564443,2,3,6,4,9.22,1
1,0,20,0,4,0,1,1,2,2,0,1,225.33819766704846,3.6348546189598796,8.861690545345631,0,1,1,0,0,2,1,0,0,216.95192745848865,2,4,4,6,7.48,1
2,0,21,0,4,1,1,1,2,2,0,1,286.6120899485618,15.359278466388503,9.131311734787232,1,1,1,0,0,3,0,0,2,247.09673759876108,2,3,9,6,8.68,1
3,1,24,1,7,1,3,3,4,4,0,3,163.6092637693665,23.86263265457396,14.994432334304513,1,1,1,1,0,4,0,1,5,406.69054177509736,4,2,1,6,15.07,3
1,0,20,0,4,0,1,1,2,2,0,1,163.61041301355738,7.806143047385639,8.619946109947875,0,1,1,0,0,2,1,0,4,225.521682040231,2,4,3,8,7.82,1
3,1,23,1,6,1,2,2,3,3,0,2,290.5448970855174,26.38786120840474,12.043122499568462,0,1,1,1,0,4,0,0,0,344.49078996635507,3,2,5,3,12.58,2
3,1,24,1,7,1,3,3,4,4,0,3,233.7204310407036,21.902198568674706,17.038396422970752,0,1,0,1,1,4,0,1,3,410.80588721268714,4,2,7,5,15.23,3
2,0,22,1,5,1,2,2,3,3,0,2,147.13679298455335,12.126133424231696,11.532177998184537,0,1,0,1,1,3,0,0,5,306.97341876199084,3,3,4,4,11.08,2
3,1,24,1,6,1,3,3,4,4,0,2,217.97920305101752,16.86776290129722,17.15969692616156,0,1,0,1,0,4,0,1,3,390.8027095289646,4,2,8,7,14.43,3
3,1,24,1,7,1,3,3,4,4,0,3,147.56076150312765,30.786574461128264,16.945604458484663,0,1,0,1,0,4,0,1,2,411.69953385720675,4,2,3,9,15.27,3
2,0,22,1,5,1,2,2,3,3,0,2,147.39891725008204,23.868382508046928,10.949925591598596,0,1,0,1,0,3,0,0,3,308.3702937613078,3,3,5,5,11.13,2
3,1,24,1,7,1,3,3,4,4,0,3,196.93735900962238,18.070269239185183,16.745866161112946,0,1,0,1,0,4,0,1,4,411.20920185680694,4,2,3,6,15.25,3
3,1,24,1,6,1,3,3,4,4,0,2,46.070382873954145,16.098533464312126,16.973319659265208,1,0,0,1,0,4,0,1,1,403.1939271219497,4,2,5,3,14.93,3
2,0,22,1,5,1,2,2,3,3,0,2,59.2557517240877,18.612872563613276,12.769447108004321,1,1,0,1,0,3,0,0,5,320.03429045177194,3,3,9,6,11.6,2
2,0,22,1,5,1,2,2,2,2,0,2,140.6398729531319,13.905891536461572,10.52504580489822,0,1,1,0,0,3,0,0,3,291.07380770321396,2,3,2,5,10.44,1
2,0,22,1,5,1,2,2,3,3,0,2,109.10182157659034,1.1620039542478828,14.255249682702429,0,1,0,1,0,3,0,0,2,315.3275717403112,3,3,7,4,11.41,2
4,1,26,1,8,1,4,4,5,5,0,3,201.99731328166916,34.33742328427785,19.056771056002354,1,1,0,1,0,5,0,1,5,497.9441541313224,5,1,3,6,18.72,4
