Occupation,Sex,Age,Residency_in_Dormitory,Number_of_Family_Members,Parent_Cohabitation_Status,Mother_Education,Father_Education,Mother_Job_Category,Father_Job_Category,Criminal_Records,Legal_Guardian,Average_Sport_Activity_Per_Week,Average_Studying_Per_Week,Average_Grades_Previous_Semester,Having_Scholarship,Financial_Support_Parents,Using_Extracurricular_Classes,Having_Extracurricular_Activities,History_Mental_Illness,Willingness_to_Studying,History_Physical_Illness,Marital_Status_Relationship,Relationship_Quality_Family,Free_Time_After_Classes,Communication_Quality_Classmates,Alcohol_Consumption_Week,Alcohol_Consumption_Weekend,Number_of_Absences,Average_Student_Final_Grades,Academic_Performance
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,214.7699907107863,14.609922543818374,11.85506208096695,No,No,No,No,No,Moderate,No,Single,Average,295.227370558878,Average,High,8,5,10.61,Bad
Part-time Worker,Male,21,No,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Student,170.32149891801708,14.372687132929167,9.236230333306471,No,Yes,No,No,No,Moderate,No,Single,Average,260.4958092564443,Poor,High,6,4,9.22,Bad
Student,Male,20,No,4,Separated,Diploma or Below,Diploma or Below,Engineering,Engineering,No,Student,225.3381976670485,3.63485461895988,8.861690545345631,No,Yes,Yes,No,No,Low,Yes,Single,Extremely Poor,216.95192745848863,Poor,Very High,4,6,7.48,Bad
Part-time Worker,Male,21,No,4,Living Together,Diploma or Below,Diploma or Below,Engineering,Engineering,No,Student,286.6120899485618,15.359278466388504,9.131311734787232,Yes,Yes,Yes,No,No,Moderate,No,Single,Fair,247.09673759876108,Poor,High,9,6,8.68,Bad
Engineer,Female,24,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,163.6092637693665,23.86263265457396,14.994432334304513,Yes,Yes,Yes,Yes,No,High,No,Relationship,Very Good,406.69054177509736,Good,Moderate,1,6,15.07,Good
Student,Male,20,No,4,Separated,Diploma or Below,Diploma or Below,Engineering,Engineering,No,Student,163.61041301355738,7.806143047385639,8.619946109947875,No,Yes,Yes,No,No,Low,Yes,Single,Good,225.521682040231,Poor,Very High,3,8,7.82,Bad
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,290.5448970855174,26.38786120840474,12.043122499568462,No,Yes,Yes,Yes,No,High,No,Single,Extremely Poor,344.49078996635507,Average,Moderate,5,3,12.58,Average
Engineer,Female,24,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,233.7204310407036,21.902198568674702,17.038396422970752,No,Yes,No,Yes,Yes,High,No,Relationship,Average,410.8058872126872,Good,Moderate,7,5,15.23,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,147.13679298455335,12.126133424231696,11.532177998184537,No,Yes,No,Yes,Yes,Moderate,No,Single,Very Good,306.97341876199084,Average,High,4,4,11.08,Average
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,217.97920305101752,16.86776290129722,17.15969692616156,No,Yes,No,Yes,No,High,No,Relationship,Average,390.8027095289646,Good,Moderate,8,7,14.43,Good
