iter	Passed	Remaining
0	253	202807
1	284	11368122	433	115273	3	630	125564	4	841	133875	1011	133856
66	1079	12225877	1252	12400688	1478	12995199	1560	12330410	1793	128651
111	1972	129559112	2027	122722113	2259	12687214	2461	128796
15	2658	130252
16	2870	132234
17	2909	126422
18	3130	128662
19	3371	131476
20	3562	132155
21	3775	133526
22	3983	134566
23	4181	135191
24	4372	135554
25	4569	136040
26	4690	134284
27	4874	134399
28	5003	133013
29	5213	133818
30	5407	134147
31	5582	133982
32	5765	133998
33	5841	131597
34	5888	128696
35	6066	128753
36	6254	128983
37	6430	128941
38	6475	126361
39	6685	127016
40	6889	127546
41	7003	126391
42	7209	126922
43	7452	128043
44	7639	128171
45	7862	128879
46	8020	128505
47	8102	126933
48	8255	126529
49	8432	126480
50	8653	127090
51	8801	126600
52	8924	125791
53	9074	125366
54	9175	124287
55	9263	123066
56	9368	122118
57	9473	121198
58	9573	120232
59	9645	118961
60	9726	117833
61	9816	116849
62	9854	115282
63	9944	114362
64	10018	113289
65	10129	112655
66	10219	111808
67	10313	111021
68	10381	109987
69	10460	109085
70	10486	107667
71	10578	106958
72	10665	106214
73	10759	105557
74	10861	104994
75	10959	104407
76	11039	103661
77	11104	102789
78	11195	102173
79	11290	101614
80	11358	100826
81	11441	100179
82	11493	99287
83	11515	98157
84	11579	97405
85	11646	96696
86	11721	96060
87	11793	95416
88	11886	94959
89	11960	94351
90	12033	93751
91	12117	93249
92	12215	92863
93	12295	92344
94	12393	91974
95	12490	91600
96	12576	91150
97	12675	90800
98	12779	90489
99	12879	90157
100	12987	89882
101	13081	89519
102	13165	89090
103	13250	88674
104	13280	87905
105	13351	87414
106	13438	87034
107	13519	86626
108	13599	86213
109	13690	85877
110	13791	85605
111	13886	85303
112	13989	85050
113	14080	84728
114	14122	84123
115	14214	83819
116	14285	83391
117	14377	83096
118	14468	82800
119	14534	82362
120	14606	81966
121	14695	81670
122	14767	81279
123	14875	81096
124	14976	80872
125	15080	80667
126	15160	80336
127	15261	80121
128	15331	79746
129	15415	79448
130	15489	79101
131	15578	78835
132	15620	78336
133	15694	78003
134	15771	77687
135	15856	77415
136	15943	77155
137	16034	76919
138	16123	76675
139	16209	76416
140	16295	76161
141	16378	75896
142	16465	75650
143	16564	75462
144	16638	75161
145	16731	74946
146	16788	74578
147	16882	74373
148	16971	74150
149	17062	73939
150	17148	73704
151	17240	73497
152	17358	73403
153	17450	73199
154	17570	73115
155	17655	72886
156	17750	72696
157	17818	72401
158	17913	72219
159	18010	72043
160	18098	71830
161	18204	71692
162	18286	71461
163	18388	71313
164	18494	71175
165	18597	71028
166	18685	70826
167	18778	70642
168	18865	70437
169	18954	70242
170	19043	70048
171	19134	69861
172	19218	69653
173	19304	69450
174	19415	69340
175	19439	68920
176	19529	68741
177	19619	68557
178	19712	68389
179	19808	68229
180	19912	68097
181	20007	67939
182	20085	67720
183	20198	67620
184	20276	67406
185	20379	67274
186	20468	67098
187	20553	66906
188	20607	66621
189	20689	66423
190	20800	66322
191	20885	66137
192	20978	65979
193	21058	65779
194	21151	65623
195	21169	65235
196	21242	65022
197	21258	64635
198	21352	64485
199	21429	64289
200	21504	64085
201	21596	63934
202	21712	63855
203	21802	63696
204	21888	63530
205	21964	63334
206	22070	63226
207	22148	63038
208	22236	62879
209	22335	62751
210	22424	62597
211	22500	62408
212	22600	62283
213	22702	62167
214	22773	61964
215	22788	61612
216	22867	61437
217	22940	61245
218	23026	61089
219	23058	60791
220	23150	60652
221	23237	60501
222	23336	60381
223	23423	60232
224	23523	60116
225	23612	59972
226	23701	59828
227	23802	59716
228	23880	59545
229	23981	59431
230	24073	59297
231	24182	59204
232	24268	59057
233	24360	58923
234	24436	58751
235	24497	58545
236	24592	58421
237	24669	58252
238	24737	58065
239	24817	57908
240	24897	57749
241	24920	57461
242	25011	57331
243	25111	57221
244	25196	57078
245	25288	56951
246	25372	56805
247	25469	56689
248	25567	56576
249	25658	56447
250	25763	56350
251	25840	56193
252	25876	55946
253	25937	55755
254	26037	55649
255	26144	55556
256	26183	55321
257	26279	55207
258	26370	55082
259	26453	54941
260	26565	54860
261	26639	54702
262	26723	54564
263	26821	54456
264	26929	54366
265	27024	54251
266	27113	54124
267	27201	53996
268	27287	53864
269	27376	53739
270	27466	53615
271	27555	53489
272	27646	53369
273	27730	53234
274	27814	53100
275	27896	52963
276	27974	52818
277	28061	52691
278	28133	52536
279	28214	52398
280	28308	52285
281	28391	52152
282	28478	52026
283	28558	51888
284	28641	51755
285	28687	51557
286	28767	51421
287	28835	51262
288	28921	51137
289	28998	50997
290	29076	50859
291	29158	50728
292	29241	50599
293	29291	50413
294	29372	50281
295	29461	50164
296	29481	49930
297	29590	49846
298	29682	49735
299	29789	49648
300	29879	49534
301	29964	49411
302	30046	49284
303	30075	49070
304	30185	48990
305	30272	48871
306	30369	48769
307	30471	48674
308	30562	48563
309	30668	48475
310	30766	48374
311	30868	48281
312	30947	48151
313	31029	48026
314	31123	47919
315	31218	47816
316	31317	47716
317	31419	47622
318	31507	47507
319	31614	47422
320	31711	47320
321	31804	47212
322	31895	47102
323	31967	46964
324	32044	46833
325	32143	46736
326	32229	46619
327	32309	46494
328	32375	46348
329	32448	46215
